web-scraper-order,web-scraper-start-url,text_raw,price_raw,model_raw,type_year_km_transmission_fuel
1705078010-26,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97","BMW 320 320d Touring Sport Line SteptronicCHF 13'990ab CHF 224 / Monat4 / 6Occasion03.2013180.000 kmAutomatDiesel2557 (BE)PreisCHF 13'990Finanzierungab CHF 224 / Monat4 / 6Anfragen MerkenDetails","CHF 13'990","320d Touring Sport Line Steptronic","Occasion03.2013180.000 kmAutomatDiesel2557 (BE)"
1705078010-27,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97","BMW X3 X3 xDrive 48V 20d Pure M Sport SteptronicCHF 39'700ab CHF 636 / Monat5 / 6Occasion07.202163.000 kmAutomatElektro/Diesel6023 (LU)PreisCHF 39'700Finanzierungab CHF 636 / Monat5 / 6Anfragen MerkenDetails","CHF 39'700","X3 xDrive 48V 20d Pure M Sport Steptronic","Occasion07.202163.000 kmAutomatElektro/Diesel6023 (LU)"
1705078010-28,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97","BMW Z4 Z4 sDrive 20i M SportCHF 45'900ab CHF 735 / Monat4.5 / 6Occasion05.202111.000 kmAutomatBenzin8134 (ZH)PreisCHF 45'900Finanzierungab CHF 735 / Monat4.5 / 6Anfragen MerkenDetails","CHF 45'900","Z4 sDrive 20i M Sport","Occasion05.202111.000 kmAutomatBenzin8134 (ZH)"
1705078010-29,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97","BMW X6 X6 xDrive 30d SteptronicCHF 69'800ab CHF 1'117 / Monat4 / 6Occasion08.202040.150 kmAutomatDiesel8302 (ZH)PreisCHF 69'800Finanzierungab CHF 1'117 / Monat4 / 6Anfragen MerkenDetails","CHF 69'800","X6 xDrive 30d Steptronic","Occasion08.202040.150 kmAutomatDiesel8302 (ZH)"
1705078010-30,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=97","BMW X5 X5 xDrive45e SteptronicCHF 65'900ab CHF 1'055 / Monat4 / 6Occasion04.202062.000 kmAutomatBenzin/Elektro5610 (AG)PreisCHF 65'900Finanzierungab CHF 1'055 / Monat4 / 6Anfragen MerkenDetails","CHF 65'900","X5 xDrive45e Steptronic","Occasion04.202062.000 kmAutomatBenzin/Elektro5610 (AG)"
1705078013-31,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW X5 X5 xDrive M SteptronicCHF 18'500ab CHF 296 / Monat5.5 / 6Occasion06.2010180.000 kmAutomatBenzin5502 (AG)PreisCHF 18'500Finanzierungab CHF 296 / Monat5.5 / 6Anfragen MerkenDetails","CHF 18'500","X5 xDrive M Steptronic","Occasion06.2010180.000 kmAutomatBenzin5502 (AG)"
1705078013-32,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW 118 118iCHF 6'900ab CHF 110 / Monat4.5 / 6Occasion06.2006134.000 kmManuellBenzin8500 (TG)PreisCHF 6'900Finanzierungab CHF 110 / Monat4.5 / 6Anfragen MerkenDetails","CHF 6'900","118i","Occasion06.2006134.000 kmManuellBenzin8500 (TG)"
1705078013-33,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW 318 318i TouringCHF 5'500ab CHF 88 / Monat5.5 / 6Occasion06.2009152.500 kmManuellBenzin8952 (ZH)PreisCHF 5'500Finanzierungab CHF 88 / Monat5.5 / 6Anfragen MerkenDetails","CHF 5'500","318i Touring","Occasion06.2009152.500 kmManuellBenzin8952 (ZH)"
1705078013-34,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW 640 640i Cabrio xDriveCHF 47'320ab CHF 758 / Monat5.5 / 6Occasion12.201741.700 kmAutomatBenzin6343 (ZG)PreisCHF 47'320Finanzierungab CHF 758 / Monat5.5 / 6Anfragen MerkenDetails","CHF 47'320","640i Cabrio xDrive","Occasion12.201741.700 kmAutomatBenzin6343 (ZG)"
1705078013-35,"https://www.comparis.ch/carfinder/marktplatz/bmw/?q=query&page=96","BMW X3 X3 M40i IndividualCHF 72'900ab CHF 1'167 / Monat5 / 6Occasion09.202210.199 kmAutomatElektro/Diesel5702 (AG)PreisCHF 72'900Finanzierungab CHF 1'167 / Monat5 / 6Anfragen MerkenDetails","CHF 72'900","X3 M40i Individual","Occasion09.202210.199 kmAutomatElektro/Diesel5702 (AG)"
