web-scraper-order,model_raw,Location,PLZ,Year,price,km,luxury,competition,xDrive,automat,km_cat,km_per_year,lat,lon
1705078067-171,X1 xDrive 20d M Sport Steptronic,SG,9402,2019,31900,67500.0,0,0,1,1,50-120k,13500.0,47.47079849243164,9.43656063079834
1705078067-172,X5 4.4i,ZH,8308,2004,3900,204000.0,0,0,0,1,120k+,10200.0,47.416194915771484,8.717037200927734
1705078067-173,X5 xDrive 25d Steptronic,SO,4614,2017,36999,82000.0,0,0,1,1,50-120k,11714.29,47.3318977355957,7.83531379699707
1705078067-174,X5 xDrive 40d Steptronic,ZG,6330,2014,34490,149800.0,0,0,1,1,120k+,14980.0,47.20186233520508,8.453487396240234
1705078067-175,520d Touring Luxury Line Steptronic,ZG,6330,2018,29980,135000.0,1,0,0,1,120k+,22500.0,47.20186233520508,8.453487396240234
1705078067-176,X3 xDrive 20d Individual xLine Steptronic,ZG,6330,2019,36980,119000.0,0,0,1,1,50-120k,23800.0,47.20186233520508,8.453487396240234
1705078067-177,750Li,BE,3600,2015,29000,135000.0,0,0,0,1,120k+,15000.0,46.759037017822266,7.619719982147217
1705078067-178,635 CSi,BE,2504,1982,30000,125000.0,0,0,0,0,120k+,2976.19,47.14575958251953,7.270869731903076
1705078067-179,M340i xDriveTouring Steptronic M Sport,AI,9050,2020,58600,49000.0,0,0,1,1,0-50k,12250.0,47.346214294433594,9.429980278015137
1705078067-180,120i,BE,3074,2011,8400,169500.0,0,0,0,0,120k+,13038.46,46.93461227416992,7.489782810211182
1705078071-181,X5 xDrive 40i Steptronic,ZH,8424,2019,51800,123025.0,0,0,1,1,120k+,24605.0,47.50142288208008,8.599289894104004
1705078071-182,420i Gran Coupé M Sport Steptronic,ZH,8051,2023,47800,8400.0,0,0,0,1,0-50k,8400.0,47.40443420410156,8.563179969787598
1705078071-183,X1 xDrive 18d Sport Line Steptronic,VD,1123,2015,12900,171000.0,0,0,1,1,120k+,19000.0,46.573001861572266,6.512213706970215
1705078071-184,X3 xDrive 35d (3.0sd) Steptronic,ZH,8902,2008,8950,255000.0,0,0,1,1,120k+,15937.5,47.38230895996094,8.42630386352539
1705078071-185,540d xDrive Touring Pure M Sport Edition Steptr.,SZ,8864,2020,51800,39900.0,0,0,1,1,0-50k,9975.0,47.17209243774414,8.979537010192871
1705078071-186,320d Touring Edition Sport Line,ZH,8153,2018,14900,134000.0,0,0,0,0,120k+,22333.33,47.4549560546875,8.524186134338379
1705078071-187,X3 xDrive 30d xLine Steptronic,SG,9402,2020,35600,121500.0,0,0,1,1,120k+,30375.0,47.47079849243164,9.43656063079834
1705078071-188,530d xDrive Touring Pure M Sport Edition Steptr.,SZ,8864,2020,44800,26000.0,0,0,1,1,0-50k,6500.0,47.17209243774414,8.979537010192871
1705078071-189,M3 Touring xDrive Competition M,BE,3073,2024,118900,,0,1,1,1,,,46.932350158691406,7.513627052307129
