,web-scraper-order,model_raw,Location,PLZ,Year,price,km,km_per_year
335,1705078143-336,X5 xDrive M50d Steptronic,ZH,8181,2015,34500,169600.0,18844.44
336,1705078143-337,335i xDrive Touring Steptronic,SG,9434,2014,21900,154500.0,15450.0
337,1705078143-338,320d xDrive 48V Touring Steptronic,ZH,6340,2023,47900,28271.0,28271.0
338,1705078143-339,330i x-Drive Steptronic,VD,1852,2008,7500,178000.0,11125.0
339,1705078143-340,M140i xDrive Steptronic,SG,9450,2019,32800,47000.0,9400.0
340,1705078150-341,320d xDrive 48V Touring Steptronic M Sport,ZH,8404,2022,46900,27999.0,13999.5
341,1705078150-342,X3 xDrive 20i M Sport Steptronic,LU,6035,2020,39850,47247.0,11811.75
342,1705078150-343,223i Active Tourer Luxury Line DKG,LU,6015,2023,45900,5000.0,5000.0
343,1705078150-344,M3 Competition M xDrive,SG,9245,2022,89490,26600.0,13300.0
344,1705078150-345,X2 xDrive 20i M Sport Steptronic,ZH,8604,2022,34980,3940.0,1970.0
345,1705078150-346,230i Steptronic Sport Line,SO,4614,2018,23800,79500.0,13250.0
346,1705078150-347,X5 xDrive 48V 30d M Sport Steptronic,ZH,8953,2022,79900,21500.0,10750.0
347,1705078150-348,120d xDrive Steptronic M Sport,BL,4147,2023,37999,18500.0,18500.0
348,1705078150-349,i3s (120Ah) Fleet Edition,BL,4132,2020,26900,16200.0,4050.0
349,1705078150-350,M235i Gran Coupé xDrive Pure M Sport Steptronic,GR,7000,2021,45900,41700.0,13900.0
350,1705078157-351,320i xDrive Touring Steptronic,TG,8590,2014,5999,199999.0,19999.9
351,1705078157-352,X3 xDrive 35d Steptronic,TG,8590,2011,7500,216000.0,16615.38
352,1705078157-353,528i xDrive Touring Steptronic,BS,4058,2013,16900,107800.0,9800.0
353,1705078157-354,118i Steptronic,LU,6110,2008,5900,184200.0,11512.5
354,1705078157-355,X6 xDrive 40d Steptronic,ZH,8212,2018,48900,73700.0,12283.33
355,1705078157-356,330i Touring xDrive Steptronic M Sport,ZH,8714,2019,36400,89500.0,17900.0
356,1705078157-357,320i Touring Steptronic,SO,4625,2013,9800,193000.0,17545.45
357,1705078157-358,X6 M50d Steptronic,ZH,8050,2016,45000,115000.0,14375.0
358,1705078157-359,440i Gran Coupé xDrive M Sport Steptronic,ZH,8953,2018,31900,122000.0,20333.33
360,1705078162-361,125d Sport Line Steptronic,ZH,8302,2014,16880,148000.0,14800.0
361,1705078162-362,X1 sDrive 20i 48V M Sport,FR,1726,2023,51900,9400.0,9400.0
362,1705078162-363,X3 xDrive 20i xLine,LU,6208,2019,39400,33700.0,6740.0
363,1705078162-364,225i Active Tourer Luxury Line Steptronic,AG,5417,2014,17900,81000.0,8100.0
364,1705078162-365,X5M Steptronic,ZH,8051,2015,56800,77500.0,8611.11
365,1705078162-366,M3 Drivelogic,GR,7000,2014,53900,124000.0,12400.0
366,1705078162-367,M440i xDrive 48V Cabriolet M Sport PRO Steptronic,BE,3422,2023,69000,6900.0,6900.0
367,1705078162-368,116d,FR,1726,2019,17900,99000.0,19800.0
368,1705078162-369,840d xDrive M Sport Steptronic,SO,4625,2020,48900,148000.0,37000.0
369,1705078162-370,430i xDrive Gran Coupé M Sport Steptronic,ZH,6340,2023,64900,11600.0,11600.0
370,1705078167-371,X6 xDrive 50i Steptronic,BE,3282,2015,39900,103000.0,11444.44
371,1705078167-372,540d xDrive 48V Touring M Sport Pro Steptronic,TG,8580,2023,68800,15900.0,15900.0
372,1705078167-373,X3 M40i,TG,8580,2023,69800,13800.0,13800.0
373,1705078167-374,Z4 sDrive23i Steptronic,VS,1893,2009,16900,163000.0,10866.67
374,1705078167-375,X1 xDrive 20i Steptronic,VD,1110,2020,33900,63500.0,15875.0
375,1705078167-376,X3 xDrive M40i Steptronic,LU,6045,2021,59999,38000.0,12666.67
376,1705078167-377,X5 xDrive 40i xLine Steptronic,GR,7130,2019,49000,71000.0,14200.0
378,1705078167-379,i3s (120Ah),SO,4614,2021,28800,19800.0,6600.0
379,1705078167-380,320d xDrive Touring Steptronic,GL,8865,2011,9500,178800.0,13753.85
380,1705078173-381,120d,BE,3176,2004,1999,467664.0,23383.2
381,1705078173-382,X3 3.0Si,VD,1123,2006,3900,254000.0,14111.11
382,1705078173-383,X1 xDrive 20d Steptronic,ZH,8620,2010,6900,183000.0,13071.43
383,1705078173-384,X1 xDrive 20i Steptronic,ZH,8620,2013,6999,151000.0,13727.27
384,1705078173-385,435d Gran Coupé xDrive M Sport Steptronic,GR,7302,2015,27500,122000.0,13555.56
385,1705078173-386,218d xDrive Gran Tourer Sport Line Steptronic,BE,3048,2017,22800,58000.0,8285.71
386,1705078173-387,328i A,BE,3612,1995,12499,165400.0,5703.45
387,1705078173-388,340i xDrive Touring Edition M Sport Steptronic,BE,3628,2019,40999,75500.0,15100.0
388,1705078173-389,320d xDrive Touring Steptronic,SO,4574,2014,14900,149400.0,14940.0
389,1705078173-390,750i xDrive Steptronic,SG,9604,2019,72900,78000.0,15600.0
390,1705078178-391,428i Coupé xDrive Luxury Line Steptronic,ZH,8620,2013,19900,121000.0,11000.0
391,1705078178-392,X3 xDrive 20d Steptronic,ZH,8424,2018,33900,74200.0,12366.67
392,1705078178-393,M240i xDrive Steptronic,ZH,8424,2018,35900,41000.0,6833.33
393,1705078178-394,X1 sDrive 18i,TI,6500,2021,29900,40200.0,13400.0
395,1705078178-396,X1 xDrive 18d Steptronic,ZH,8340,2014,13600,109000.0,10900.0
396,1705078178-397,X5 xDrive 48V 40i M Sport Steptronic,ZH,8620,2022,69900,60200.0,30100.0
397,1705078178-398,220d xDrive Gran Tourer Steptronic,FR,3178,2016,14990,159500.0,19937.5
398,1705078178-399,X5 xDrive M50i Steptronic,ZH,6340,2023,109800,7400.0,7400.0
399,1705078178-400,X3 xDrive M40i Steptronic,ZH,8706,2020,54900,39990.0,9997.5
400,1705078183-401,220d xDrive Gran Tourer Steptronic Travel Edition,BE,3123,2021,43200,27000.0,9000.0
401,1705078183-402,640d Gran Coupé xDrive,LU,6030,2016,25900,179900.0,22487.5
403,1705078183-404,X1 xDrive 20i Steptronic,GR,7000,2020,37800,51000.0,12750.0
404,1705078183-405,X5 xDrive 40d Steptronic,BL,4455,2015,30000,140000.0,15555.56
405,1705078183-406,M4 Cabriolet DKG,BL,4455,2018,70000,33996.0,5666.0
410,1705078188-411,118i Steptronic,SG,9450,2016,12900,145512.0,18189.0
411,1705078188-412,325i Touring,ZH,8153,2006,6900,183344.0,10185.78
412,1705078188-413,i5 M60 xDrive M Sport Pro,VD,1267,2024,127400,1500.0,inf
413,1705078188-414,335i GT xDrive Sport Line Steptronic,VD,1123,2014,16900,151000.0,15100.0
414,1705078188-415,320Ci Cabriolet,ZH,8153,2003,5900,213439.0,10163.76
415,1705078188-416,X4 xDrive 48V M40d Steptronic,TG,8580,2023,69800,13800.0,13800.0
416,1705078188-417,X5 xDrive M50d Steptronic,BE,3007,2016,39990,133500.0,16687.5
417,1705078188-418,X5 xDrive 25d Steptronic,BS,4052,2015,24800,121926.0,13547.33
418,1705078188-419,435d Cabriolet xDrive M Sport Steptronic,LU,6353,2015,23999,92000.0,10222.22
419,1705078188-420,X3 xDrive 30d Steptronic,SG,8716,2013,12900,206000.0,18727.27
420,1705078193-421,iX xDrive50,ZH,8953,2022,78900,13000.0,6500.0
421,1705078193-422,M550i xDrive Steptronic,AG,5623,2019,54900,79900.0,15980.0
422,1705078193-423,118i Steptronic M Sport,TI,6500,2020,27900,56000.0,14000.0
423,1705078193-424,M440i xDrive 48V Coupé Steptronic,ZH,8620,2021,52900,5140.0,1713.33
424,1705078193-425,X6M Steptronic,ZH,8105,2018,62800,72800.0,12133.33
425,1705078193-426,520d xDrive 48V M Sport Steptronic,BL,4147,2024,79999,3000.0,inf
426,1705078193-427,X1 xDrive 20i xLine Steptronic,SG,9434,2016,20500,94000.0,11750.0
427,1705078193-428,530d Touring Steptronic,SH,8200,2008,3990,242000.0,15125.0
428,1705078193-429,116d Efficient-Dynamics Edition Sport Line,ZH,8902,2014,9900,134000.0,13400.0
429,1705078193-430,X3 2.5i,SH,8200,2005,3999,206306.0,10858.21
430,1705078198-431,M340d xDrive 48V Touring Steptronic M Sport Pro,SG,9000,2023,73900,11000.0,11000.0
431,1705078198-432,530i xDrive Pure M Sport Edition Steptronic,SZ,8808,2020,46900,59000.0,14750.0
432,1705078198-433,X3 xDrive 48V 20d Individual M Sport Steptronic,VD,1000,2021,42500,64000.0,21333.33
433,1705078198-434,X1 xDrive 20d M Sport Steptronic,VS,1950,2017,28999,95000.0,13571.43
434,1705078198-435,118d xDrive,ZH,8623,2018,17800,74000.0,12333.33
435,1705078198-436,318Ci Cabriolet,BE,4538,2006,7800,119000.0,6611.11
436,1705078198-437,330i Touring xDrive Steptronic M Sport,ZH,8604,2023,44800,20000.0,20000.0
438,1705078198-439,X5 xDrive M50d Steptronic,VD,1032,2019,64900,75000.0,15000.0
439,1705078198-440,M340i xDriveTouring Steptronic M Sport,ZH,8953,2020,54900,48400.0,12100.0
440,1705078204-441,330xd,VD,1852,2006,4900,290000.0,16111.11
441,1705078204-442,X1 xDrive 20i Steptronic,SG,8716,2017,25500,32900.0,4700.0
442,1705078204-443,325d Touring,TG,8587,2008,6999,227977.0,14248.56
443,1705078204-444,X6 xDrive 40d Steptronic,TG,8587,2011,19950,172000.0,13230.77
444,1705078204-445,320d xDrive Touring Sport Line Steptronic,SO,4632,2019,24900,124429.0,24885.8
445,1705078204-446,318d,ZH,8153,2006,4900,310043.0,17224.61
446,1705078204-447,325d Touring,TG,8587,2007,6700,235000.0,13823.53
447,1705078204-448,X5 xDrive 40e iPerformance Steptronic,TG,8280,2016,37900,87500.0,10937.5
448,1705078204-449,X6 xDrive 35i Steptronic,SO,4574,2009,17900,158400.0,10560.0
449,1705078204-450,X3 xDrive 20d Steptronic,SO,4632,2015,27900,89810.0,9978.89
450,1705078208-451,123d,VD,1407,2011,9500,178850.0,13757.69
451,1705078208-452,X6 M50d Steptronic,TG,8500,2015,49900,63000.0,7000.0
452,1705078208-453,X5 xDrive 40i Steptronic,AG,5001,2019,61800,91900.0,18380.0
453,1705078208-454,118i M Sport Steptronic,ZH,8413,2021,28300,22400.0,7466.67
454,1705078208-455,X2 xDrive 18d,ZH,8404,2019,19900,120000.0,24000.0
456,1705078208-457,M3 Competition M xDrive,SG,8887,2023,94900,23000.0,23000.0
457,1705078208-458,X5M Steptronic,ZH,8051,2015,56800,77500.0,8611.11
458,1705078208-459,525d Steptronic,BE,3661,2010,7999,198000.0,14142.86
459,1705078208-460,330i xDrive Touring M Sport Steptronic,TG,8532,2016,27900,99000.0,12375.0
460,1705078215-461,X5 xDrive M50d Steptronic,AG,5702,2020,68900,57300.0,14325.0
461,1705078215-462,i7 xDrive 60,AG,5702,2023,129900,19900.0,19900.0
462,1705078215-463,X3 xDrive M Steptronic,TG,9542,2021,64890,41650.0,13883.33
465,1705078215-466,X5 xDrive 40d Steptronic,SG,9244,2014,33900,108000.0,10800.0
466,1705078215-467,645i,BE,3174,2004,5900,281000.0,14050.0
467,1705078215-468,530d Touring xDrive Steptronic,BE,3250,2016,19999,156000.0,19500.0
468,1705078215-469,X5 xDrive 48V 30d Steptronic,TI,6702,2022,69000,48000.0,24000.0
469,1705078215-470,120i,SH,8240,2004,3900,178300.0,8915.0
470,1705078221-471,X3 xDrive 30d Steptronic,AG,5644,2016,12500,235000.0,29375.0
471,1705078221-472,428i Gran Coupé xDrive Steptronic,BE,3315,2014,21950,119000.0,11900.0
472,1705078221-473,X5 xDrive 48V 40d M Sport Steptronic,ZH,8117,2022,89900,30300.0,15150.0
473,1705078221-474,316i Compact,BS,4059,1995,2000,207391.0,7151.41
476,1705078221-477,X2 M35i Steptronic,LU,6208,2020,37800,62700.0,15675.0
477,1705078221-478,i3 (60Ah) Range Extender,ZH,8112,2015,12900,52700.0,5855.56
478,1705078221-479,X3 xDrive M40i Steptronic,SZ,6405,2019,58900,44500.0,8900.0
479,1705078221-480,X3 xDrive M40i Steptronic,AG,5702,2020,47900,59900.0,14975.0
480,1705078226-481,325i,AG,5621,2002,1999,199000.0,9045.45
481,1705078226-482,328i xDrive Touring,GR,7205,2013,13000,174000.0,15818.18
482,1705078226-483,M5 xDrive Competition Drivelogic,ZH,8302,2019,108880,33000.0,6600.0
483,1705078226-484,120d xDrive Steptronic M Sport,VS,1950,2020,33170,70000.0,17500.0
484,1705078226-485,118i Edition M Sport,ZH,8001,2019,13995,78300.0,15660.0
485,1705078226-486,530d xDrive 48V Touring Pure M Sport Steptronic,ZH,8157,2022,61900,28500.0,14250.0
486,1705078226-487,i3s (120Ah) Fleet Edition,ZH,8833,2020,26900,41000.0,10250.0
487,1705078226-488,X3 xDrive M40i Steptronic,ZH,8833,2020,52900,39000.0,9750.0
488,1705078226-489,X1 xDrive 25i M Sport Steptronic,VS,1950,2019,40450,43500.0,8700.0
489,1705078226-490,330d xDrive Touring Steptronic,SZ,6410,2015,27900,139980.0,15553.33
490,1705078232-491,M340i xDriveTouring Steptronic M Sport,LU,6210,2020,54900,43000.0,10750.0
491,1705078232-492,328i Touring Sport Line Steptronic,LU,6026,2012,11900,140300.0,11691.67
492,1705078232-493,330i Touring xDrive Pure M Sport Steptronic,SO,4542,2022,48900,34000.0,17000.0
493,1705078232-494,X5 xDrive 30d Steptronic,ZH,8047,2011,14000,240000.0,18461.54
494,1705078232-495,X3 xDrive 35i xLine Steptronic,ZH,8134,2016,28900,75000.0,9375.0
495,1705078232-496,M8 xDrive Steptronic M Competition,TG,9535,2019,99890,56500.0,11300.0
496,1705078232-497,X3 xDrive 30i M Sport Steptronic,GR,7000,2020,51800,52800.0,13200.0
497,1705078232-498,X1 xDrive 20i Steptronic,GR,7000,2020,37800,51000.0,12750.0
498,1705078232-499,iX xDrive50,ZH,8953,2022,78900,13000.0,6500.0
499,1705078232-500,iX xDrive40,ZH,8953,2022,78900,10000.0,5000.0
500,1705078239-501,M2 CS,ZH,8800,2021,77980,40000.0,13333.33
501,1705078239-502,218d xDrive Gran Tourer Steptronic,SO,5012,2020,18900,106000.0,26500.0
502,1705078239-503,X3 xDrive M Steptronic,SG,9501,2021,64890,41650.0,13883.33
503,1705078239-504,X6 xDrive 35d Steptronic,ZH,8330,2009,13600,229900.0,15326.67
504,1705078239-505,X5 xDrive 30d (3.0d) Steptronic,FR,3216,2007,16500,186000.0,10941.18
505,1705078239-506,320d AccessPlus Steptronic,ZH,8304,2009,5299,260000.0,17333.33
506,1705078239-507,220d xDrive Active Tourer Steptronic M Sport,AG,4665,2021,31900,13200.0,4400.0
507,1705078239-508,320d,NE,2042,2004,2500,328000.0,16400.0
508,1705078239-509,M550i xDrive M Sport Pro Steptronic,AG,4665,2023,89900,2200.0,2200.0
509,1705078239-510,525d Touring xDrive Steptronic,SO,2540,2016,16900,159000.0,19875.0
510,1705078246-511,M240i xDrive Steptronic,TG,8532,2019,37900,47000.0,9400.0
511,1705078246-512,535i xDrive Steptronic,TI,6962,2011,14900,207000.0,15923.08
512,1705078246-513,335i xDrive Coupé,ZH,8610,2010,17550,131000.0,9357.14
513,1705078246-514,M240i xDrive Steptronic,ZH,8953,2022,59900,34400.0,17200.0
514,1705078246-515,120i Cabrio,SZ,6403,2010,8900,115000.0,8214.29
515,1705078246-516,i8 Coupé,ZH,8105,2014,59900,64900.0,6490.0
516,1705078246-517,X5 xDrive M50d Steptronic,LU,6207,2016,39900,97500.0,12187.5
517,1705078246-518,M340i xDriveTouring Steptronic M Sport,GR,7000,2020,51900,50000.0,12500.0
519,1705078246-520,530e xDrive M Sport Steptronic,BL,4147,2023,59999,15800.0,15800.0
520,1705078251-521,M240i xDrive Steptronic,SO,2540,2017,27900,74000.0,10571.43
524,1705078251-525,218d xDrive Gran Tourer Steptronic,BL,4147,2020,22499,62500.0,15625.0
525,1705078251-526,116i Steptronic,ZH,8105,2013,17900,18000.0,1636.36
526,1705078251-527,X1 xDrive 18d Steptronic,SO,2540,2019,18500,115000.0,23000.0
527,1705078251-528,420d Gran Coupé Steptronic,TI,6814,2015,19900,113300.0,12588.89
528,1705078251-529,116i,SO,4562,2010,3800,167000.0,11928.57
529,1705078251-530,X5 xDrive 40e iPerformance Steptronic,BL,4132,2016,33900,99860.0,12482.5
530,1705078257-531,225e xDrive Active Tourer,SG,9443,2023,60500,2000.0,2000.0
531,1705078257-532,218d xDrive Gran Tourer Steptronic,BL,4132,2020,24900,49600.0,12400.0
534,1705078257-535,M440i xDrive 48V Cabriolet Steptronic,LU,6208,2021,61900,36500.0,12166.67
535,1705078257-536,X3 xDrive 20i xLine Steptronic,ZH,8953,2019,38900,32000.0,6400.0
536,1705078257-537,740d xDrive Steptronic,TI,6963,2017,61900,43372.0,6196.0
537,1705078257-538,X5 xDrive 48V 40d M Sport Steptronic,BL,4132,2021,64900,45600.0,15200.0
538,1705078257-539,X5 xDrive45e M Sport Steptronic,AG,5644,2021,82900,19000.0,6333.33
539,1705078257-540,X5 xDrive 25d Steptronic,VD,1033,2017,24900,119000.0,17000.0
541,1705078263-542,X3 xDrive M Steptronic,FL,9494,2021,75900,35000.0,11666.67
542,1705078263-543,X3 xDrive M40i Steptronic,FL,9495,2021,61900,35000.0,11666.67
543,1705078263-544,X3 xDrive M Competition Steptronic,BE,3123,2020,62400,53500.0,13375.0
549,1705078263-550,M2 Competition Drivelogic,ZH,8953,2020,61900,21500.0,5375.0
550,1705078269-551,X6 M50d Steptronic,TG,8280,2015,48800,71800.0,7977.78
551,1705078269-552,X5 xDrive 40i Steptronic,ZH,8153,2019,58900,71502.0,14300.4
552,1705078269-553,318i,FR,3178,2008,2500,232775.0,14548.44
553,1705078269-554,318i,FR,3184,2007,5900,176000.0,10352.94
554,1705078269-555,520d xDrive Steptronic,BE,3613,2014,16800,146286.0,14628.6
555,1705078269-556,X5 xDrive M50d Steptronic,ZH,8311,2018,49999,58200.0,9700.0
556,1705078269-557,120d xDrive Steptronic M Sport,GE,1206,2019,30500,57380.0,11476.0
557,1705078269-558,M6,VD,1000,2006,44900,82000.0,4555.56
558,1705078269-559,330i xDrive Touring Edition M Sport Steptronic,SG,9534,2018,28500,100000.0,16666.67
559,1705078269-560,540i xDrive Sport Line Steptronic,ZH,8041,2018,45900,130100.0,21683.33
560,1705078276-561,530e xDrive Touring M Sport Steptronic,ZG,6314,2021,67000,40000.0,13333.33
564,1705078276-565,520d xDrive Luxury Line Steptronic,BL,4107,2018,29990,94000.0,15666.67
565,1705078276-566,X5 xDrive M50i Steptronic,BL,4107,2020,69990,66000.0,16500.0
566,1705078276-567,X6M Steptronic M Competition,AG,5702,2022,109900,40900.0,20450.0
567,1705078276-568,X3 xDrive 30e,AG,5702,2023,59900,30850.0,30850.0
568,1705078276-569,118i,TG,8500,2014,12900,101046.0,10104.6
569,1705078276-570,123d Cabrio Steptronic,ZH,8620,2012,7900,230000.0,19166.67
570,1705078283-571,220i Active Tourer DKG Sport Line,BL,4132,2019,27900,28700.0,5740.0
571,1705078283-572,750i xDrive M Sport Steptronic,ZH,8052,2020,103900,31100.0,7775.0
572,1705078283-573,120d xDrive Edition M Sport Steptronic,ZH,8953,2018,19900,103000.0,17166.67
573,1705078283-574,X3 xDrive 20i Travel Steptronic,AG,5432,2022,64000,12800.0,6400.0
574,1705078283-575,X2 xDrive 20d Steptronic,ZH,8105,2018,29400,53800.0,8966.67
575,1705078283-576,520d xDrive Steptronic,ZH,8105,2017,33900,84900.0,12128.57
576,1705078283-577,220i Active Tourer,ZH,8105,2016,19900,47000.0,5875.0
577,1705078283-578,520d xDrive Touring Steptronic,ZH,8105,2019,35900,40900.0,8180.0
578,1705078283-579,X3 xDrive M40i Steptronic,ZH,8105,2019,42900,82500.0,16500.0
580,1705078289-581,M135i xDrive Steptronic,TG,9535,2013,19890,127000.0,11545.45
581,1705078289-582,X2 xDrive 20d M Sport X Steptronic,TG,9554,2022,35900,24600.0,12300.0
582,1705078289-583,320d xDrive M Sport Steptronic,ZH,8953,2020,38900,87400.0,21850.0
583,1705078289-584,X1 xDrive 25d M Sport Steptronic,SG,9450,2017,23900,103000.0,14714.29
584,1705078289-585,X3 xDrive 20d,AG,5242,2014,13900,128847.0,12884.7
585,1705078289-586,X3 xDrive 48V M40d Travel Steptronic,ZH,8404,2024,99690,3000.0,inf
590,1705078297-591,X5 xDrive 40d Steptronic,ZH,8953,2015,27900,181000.0,20111.11
591,1705078297-592,X5 xDrive 48V 30d M Sport Steptronic,BE,2504,2023,71800,22000.0,22000.0
592,1705078297-593,X1 xDrive 23d 48V,BE,2504,2023,48800,26000.0,26000.0
593,1705078297-594,X1 xDrive 20d Steptronic,SO,2540,2018,18800,160000.0,26666.67
594,1705078297-595,X1 xDrive 18d Steptronic,SO,2540,2018,19000,123000.0,20500.0
595,1705078297-596,640i GT xDrive Steptronic,ZH,8153,2018,45900,19426.0,3237.67
596,1705078297-597,M2 Steptronic,AG,5074,2023,78900,9800.0,9800.0
597,1705078297-598,530d xDrive Sport Line Steptronic,SZ,6418,2017,37900,102000.0,14571.43
598,1705078297-599,120d xDrive Steptronic Sport Line,ZH,8180,2020,29900,72000.0,18000.0
599,1705078297-600,530d xDrive Touring Sport Line Steptronic,SO,2540,2018,37800,50300.0,8383.33
600,1705078302-601,X2 xDrive 18d Steptronic,ZH,8352,2020,24500,60200.0,15050.0
601,1705078302-602,M2 Drivelogic,AG,5317,2018,48900,51000.0,8500.0
602,1705078302-603,X1 xDrive 20d M Sport Steptronic,AG,5317,2018,29900,57700.0,9616.67
603,1705078302-604,X5M Competition Steptronic Competition,ZH,8302,2021,104800,55480.0,18493.33
604,1705078302-605,X5 xDrive 35d (3.0sd) Steptronic,GL,8865,2009,19500,130000.0,8666.67
605,1705078302-606,X1 xDrive 18d Steptronic,AG,5317,2019,19900,104400.0,20880.0
606,1705078302-607,M135i xDrive Steptronic,ZH,8494,2019,34850,83500.0,16700.0
607,1705078302-608,X1 xDrive 18d Sport Line Steptronic,ZH,8105,2018,24900,72000.0,12000.0
608,1705078302-609,M340i xDrive Steptronic,VS,1907,2019,47900,75000.0,15000.0
610,1705078308-611,M440i xDrive 48V Gran Coupé Steptronic,TG,8580,2023,64800,6600.0,6600.0
611,1705078308-612,118d,BE,3176,2017,19900,41000.0,5857.14
612,1705078308-613,220d M Sport Steptronic,TG,9220,2015,19900,116000.0,12888.89
613,1705078308-614,218d Gran Tourer Steptronic,ZH,8952,2018,17500,64900.0,10816.67
614,1705078308-615,X1 xDrive 20i M Sport Steptronic,TI,6877,2018,30500,64100.0,10683.33
615,1705078308-616,X5 xDrive45e Steptronic,LU,6010,2023,74900,23000.0,23000.0
616,1705078308-617,X4M M Competition Steptronic,LU,6010,2020,61900,78500.0,19625.0
617,1705078308-618,X1 xDrive 23i 48V M Sport,LU,6010,2023,59900,7000.0,7000.0
618,1705078308-619,X1 xDrive 20i Sport Line Steptronic,ZG,6312,2016,18900,130000.0,16250.0
619,1705078308-620,i3 (60Ah),VS,1950,2014,13900,86500.0,8650.0
620,1705078314-621,X6 xDrive 35d Steptronic,VD,1400,2009,16900,186000.0,12400.0
621,1705078314-622,X1 xDrive 20d Steptronic,SO,2540,2016,16500,160000.0,20000.0
622,1705078314-623,X5 xDrive 48V 30d M Sport Steptronic,ZH,8413,2022,87470,48000.0,24000.0
623,1705078314-624,M850i xDrive Steptronic,SG,9430,2020,67900,74000.0,18500.0
624,1705078314-625,M6 Gran Coupé Drivelogic,ZH,6340,2014,69900,95800.0,9580.0
625,1705078314-626,430i xDrive Gran Coupé M Sport Steptronic,TG,8580,2022,52800,9100.0,4550.0
626,1705078314-627,X1 xDrive 23d Steptronic,SG,8735,2010,5900,252924.0,18066.0
627,1705078314-628,X1 xDrive 20d xLine Steptronic,SO,2540,2017,26500,41000.0,5857.14
628,1705078314-629,M135i xDrive Steptronic,TG,8580,2022,44800,13200.0,6600.0
630,1705078320-631,530d xDrive Touring Sport Line Steptronic,ZH,8620,2017,31900,123000.0,17571.43
631,1705078320-632,330e Steptronic M Sport,SZ,8864,2020,39800,54000.0,13500.0
632,1705078320-633,X1 xDrive 25d M Sport Steptronic,SG,9443,2016,25900,90500.0,11312.5
633,1705078320-634,M5 xDrive Competition Drivelogic,NE,2075,2019,76990,23500.0,4700.0
634,1705078320-635,X4 M 40i Steptronic,BE,3421,2017,33000,50100.0,7157.14
635,1705078320-636,330i M Sport Steptronic,GE,1224,2019,41000,48000.0,9600.0
636,1705078320-637,220i M Sport Steptronic,AG,5634,2016,19500,92300.0,11537.5
637,1705078320-638,X3 xDrive M Competition Steptronic,AG,5325,2020,74999,45500.0,11375.0
638,1705078320-639,M140i xDrive Steptronic,ZH,8154,2017,28900,122000.0,17428.57
639,1705078320-640,M4 Coupé DKG,TG,8580,2020,62800,53800.0,13450.0
640,1705078326-641,530d xDrive Touring Sport Line Steptronic,LU,6023,2019,35700,95000.0,19000.0
641,1705078326-642,420i Gran Coupé xDrive Steptronic Luxury Line,ZH,6340,2019,33500,50600.0,10120.0
642,1705078326-643,318d Sport Line,ZH,8330,2013,9900,206500.0,18772.73
643,1705078326-644,330i Touring,ZH,8044,2008,5300,262000.0,16375.0
644,1705078326-645,X3 xDrive 35d Steptronic,FL,9494,2012,17490,120000.0,10000.0
645,1705078326-646,X5 xDrive45e Steptronic,FR,3280,2020,56900,72500.0,18125.0
646,1705078326-647,X1 xDrive 20d Steptronic,BE,3852,2022,40900,32000.0,16000.0
647,1705078326-648,220d xDrive Steptronic,TG,8586,2017,22900,91800.0,13114.29
648,1705078326-649,125i Coupé,GL,8867,2010,9900,175000.0,12500.0
649,1705078326-650,116i Access,BE,3145,2008,1999,159000.0,9937.5
650,1705078332-651,116i Steptronic,BE,3645,2013,5800,237500.0,21590.91
651,1705078332-652,M5 xDrive Drivelogic,AG,4852,2017,80850,45000.0,6428.57
652,1705078332-653,320d xDrive Touring M Sport Steptronic,TG,9542,2019,32980,98700.0,19740.0
655,1705078332-656,X3 xDrive M Competition Steptronic,BE,3645,2023,122800,3000.0,3000.0
658,1705078332-659,120d xDrive Steptronic M Sport,AG,5317,2019,24900,76900.0,15380.0
659,1705078332-660,X5 xDrive 48V 30d M Sport Steptronic,BE,2504,2023,71800,22000.0,22000.0
660,1705078337-661,XM xDrive PHEV Steptronic,SG,9016,2023,169800,2000.0,2000.0
665,1705078337-666,320d xDrive 48V Touring Steptronic,BE,3645,2020,33900,65400.0,16350.0
666,1705078337-667,M240i xDrive Steptronic,VD,1530,2022,57900,26000.0,13000.0
667,1705078337-668,iX3 Impressive,AG,5702,2022,52900,35261.0,17630.5
668,1705078337-669,M2 Competition,VD,1530,2020,54900,74500.0,18625.0
669,1705078337-670,X3 xDrive 35d Steptronic,ZH,8180,2015,20000,175000.0,19444.44
670,1705078344-671,318i Touring,VD,1880,2009,3500,114000.0,7600.0
671,1705078344-672,116i,BE,2503,2009,2600,162000.0,10800.0
672,1705078344-673,M240i xDrive Steptronic,VD,1018,2019,29900,102000.0,20400.0
673,1705078344-674,540d xDrive 48V Touring M Sport Steptronic,SH,8240,2020,65000,88000.0,22000.0
674,1705078344-675,M135i xDrive Steptronic,VD,1110,2021,45900,13500.0,4500.0
675,1705078344-676,X3 xDrive 35d Steptronic,SG,8716,2012,13500,194000.0,16166.67
676,1705078344-677,M4 Coupé DKG,SG,9630,2015,44900,119000.0,13222.22
677,1705078344-678,320d xDrive 48V Steptronic Luxury Line,AG,5400,2021,44850,46000.0,15333.33
678,1705078344-679,X2 M35i Steptronic,LU,6208,2019,38900,48000.0,9600.0
680,1705078351-681,220i,ZH,8051,2022,36800,5200.0,2600.0
681,1705078351-682,X3 xDrive 20i Steptronic,ZH,8051,2023,51500,12100.0,12100.0
