,web-scraper-order,model_raw,Location,PLZ,Year,price,km,km_per_year
105,1705078037-106,X1 xDrive 23i 48V,UR,6467,2023,59811,6000.0,6000.0
106,1705078037-107,220i Steptronic M Sport,FR,1726,2020,33900,34500.0,8625.0
107,1705078037-108,X5 xDrive 30d xLine Steptronic,GE,1203,2019,53900,84000.0,16800.0
108,1705078037-109,X5 xDrive 40d Steptronic,ZH,8304,2012,23500,132000.0,11000.0
109,1705078037-110,X3 xDrive 30e,GL,8750,2022,61900,19800.0,9900.0
110,1705078040-111,440i Coupé xDrive Power & Sound Ed. Steptronic,BE,4900,2017,38890,83000.0,11857.14
111,1705078040-112,X7 xDrive M50d Steptronic,LU,6144,2019,81600,97000.0,19400.0
112,1705078040-113,430i xDrive Gran Coupé M Sport Steptronic,SO,4614,2023,63500,15900.0,15900.0
113,1705078040-114,X3 xDrive 20d Individual M Sport Steptronic,TI,6594,2020,39900,78500.0,19625.0
114,1705078040-115,118i Essential Edition,TG,9542,2022,28890,12200.0,6100.0
115,1705078040-116,X5 xDrive 30d Steptronic,ZH,8833,2020,69900,37000.0,9250.0
116,1705078040-117,540i xDrive Touring Steptronic,SG,8887,2017,36900,69000.0,9857.14
117,1705078040-118,118i Essential Edition,TG,9542,2022,28890,11900.0,5950.0
118,1705078040-119,220i Gran Tourer Sport Line,GE,1217,2017,29000,54000.0,7714.29
119,1705078040-120,X1 xDrive 23d Steptronic,SG,9475,2010,10900,153900.0,10992.86
120,1705078044-121,320d xDrive Touring Steptronic,ZG,6330,2020,29990,78000.0,19500.0
121,1705078044-122,X5 xDrive 30d Steptronic,ZG,6330,2019,68980,32000.0,6400.0
122,1705078044-123,220i Sport Line Steptronic,FR,1784,2015,13990,158000.0,17555.56
123,1705078044-124,X3 xDrive M Competition Steptronic,BE,3006,2019,57400,83000.0,16600.0
124,1705078044-125,420d Gran Coupé M Sport Steptronic,SH,8200,2017,18000,188000.0,26857.14
125,1705078044-126,550i xDrive GT Steptronic,BE,3000,2010,12490,169000.0,12071.43
126,1705078044-127,635CSi A,BE,3110,1986,18900,162400.0,4273.68
127,1705078044-128,440i Gran Coupé xDrive M Sport Individual Steptron,AG,5300,2019,37800,37200.0,7440.0
128,1705078044-129,X1 xDrive 23i 48V,UR,6467,2023,59811,6000.0,6000.0
129,1705078044-130,M340i xDrive 48V Touring Steptronic,UR,6467,2021,63233,30000.0,10000.0
130,1705078047-131,114i Business,BE,3074,2014,4990,162500.0,16250.0
131,1705078047-132,523i,BE,3098,1999,6850,220000.0,8800.0
132,1705078047-133,316i,ZH,8003,2000,3500,144000.0,6000.0
133,1705078047-134,X3 xDrive 28i Steptronic,SO,4658,2011,12900,186000.0,14307.69
134,1705078047-135,440i Coupé xDrive M Sport Steptronic,FR,1630,2019,44900,42500.0,8500.0
135,1705078047-136,335i xDrive,UR,6467,2012,24900,114900.0,9575.0
136,1705078047-137,330d xDrive Touring M Sport Line Steptronic,ZH,8630,2016,24950,127000.0,15875.0
137,1705078047-138,M3 Competition,ZG,6313,2021,94500,13900.0,4633.33
138,1705078047-139,X5 xDrive 40d Pure M Sport Steptronic,SG,7320,2018,42999,65000.0,10833.33
139,1705078047-140,X3 xDrive 20d Steptronic,ZG,6330,2016,18980,166000.0,20750.0
140,1705078051-141,X5 xDrive 40d Steptronic,BS,4058,2012,13500,199000.0,16583.33
142,1705078051-143,X1 xDrive 25d M Sport Steptronic,AG,5452,2017,25900,83900.0,11985.71
